Designator,Mid X,Mid Y,Rotation,Layer
C1,143.298297,-88.875,0.0,bottom
C2,143.348297,-105.325,0.0,bottom
C3,143.348297,-97.125,0.0,bottom
C4,126.498297,-88.718011,0.0,bottom
C5,126.448297,-105.218011,0.0,bottom
C6,126.448297,-96.918011,0.0,bottom
C7,156.898297,-93.625,0.0,top
C8,156.898297,-96.125,0.0,top
D1,143.198297,-84.675,0.0,bottom
D2,143.398297,-93.075,0.0,bottom
D3,143.398297,-101.175,0.0,bottom
D4,126.648297,-84.618011,0.0,bottom
D5,126.498297,-92.818011,0.0,bottom
D6,126.498297,-101.018011,0.0,bottom
J1,142.548297,-93.825,270.0,top
J2,127.748297,-93.825,90.0,top
J3,157.048297,-103.535,0.0,top
TP1,134.998297,-82.885,90.0,top
TP2,134.998297,-104.825,90.0,top
TP3,147.998297,-104.825,90.0,top
TP4,147.998297,-91.835,90.0,top
U1,156.898297,-96.425,0.0,bottom
