Designator,Footprint,Quantity,Value,LCSC Part #
AC2,LSM6DS3USTR,1,LSM6DSOTR,
"C1, C49",0402,2,10u,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C31, C33, C34, C43, C8",0402,14,100nF,
"C19, C20, C32",0402,3,1uF,
"C2, C45, C48, C9",0402,4,100n,
"C21, C22, C23, C24, C37, C38, C39, C40",0201,8,1u,
"C25, C26",0402,2,6pF,
"C27, C28",0402,2,8pF,
"C29, C30",0402,2,2.2u,
"C3, C47",0402,2,10n,
"C35, C36, C41, C42",0201,4,100n,
"C4, C6",0402,2,22p,
"C46, C5",C4532_Commercial,2,33u,
C7,0603,1,4.7uF,
D3,LEDC1608X70N,1,LED_Red,
"D4, D5, D6",LEDC1608X70N,3,LED_Geen,
"D7, D8",SODFL1608X65N,2,BZT585B3V3T-7,
IC1,SOP65P640X120-14N,1,74HCT125T14-13,
IC2,SOP50P488X110-10N,1,SP4065-08ATG,
IC4,QFP50P2200X2200X160-144N,1,STM32H743ZIT6,
J1,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,Right Strip Power,
J10,PinSocket_1x03_P2.54mm_Vertical,1,Uart Connector to pi5,
J11,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Counter_Clockwise,
J2,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,Left Strip Power,
J3,17352658,1,Left Strip,
J4,849526,1,LED Strip left,
J5,849526,1,LED Strip right,
J6,17352658,1,Time Of Flight,
J7,TST-105-XX-Y-D,1,TST-105-01-L-D,
J8,17352658,1,Right Strip,
J9,PinHeader_1x02_P2.54mm_Vertical,1,LED_CAM,
"R1, R29",0402,2,27.4k,
R10,0201,1,270R,
"R11, R12, R13, R16, R17, R18, R19, R22, R23, R24, R25, R26, R27, R30, R37, R38, R41",0201,17,47R,
"R14, R15",0402,2,0R,
"R2, R33",0402,2,10k,
"R20, R21, R28, R43, R5, R6",0201,6,10k,
R3,0402,1,220k,
"R31, R32",0201,2,10R,
R34,0402,1,135k,
"R35, R36",0201,2,4.7k,
"R39, R7, R8, R9",0201,4,100R,
"R4, R44",0402,2,30k,
R42,0201,1,100k,
"S1, S4",434121025816,2,434121025816,
"TP1, TP2, TP3, TP4",TestPoint_Pad_D2.0mm,4,TestPoint,
"VR1, VR2",VREG_TPSM863252RDXR,2,TPSM863252RDXR,
Y1,CM7V32768TBQA020,1,CM7V-T1A-32.768KHZ-7PF-20PPM-TA-QC,
Y3,ECS250836CKMTR3,1,ECS-250-8-36CKM-TR3,
