Designator,Mid X,Mid Y,Rotation,Layer
AC2,149.499,-119.3,0.0,top
C1,126.000001,-104.3,90.0,top
C10,140.3675,-90.5,180.0,top
C11,141.4,-115.2,180.0,top
C12,153.2675,-115.3,180.0,top
C13,162.2,-106.7,270.0,top
C14,162.7675,-94.2,0.0,top
C15,152.8,-90.6,0.0,top
C16,147.7675,-90.6,0.0,top
C17,147.5,-115.3,180.0,top
C18,134.9,-108.7,180.0,top
C19,137.2,-92.6,90.0,top
C2,125.0,-104.3,90.0,top
C20,133.8,-114.0,270.0,top
C21,137.2,-90.4,135.0,top
C22,138.4,-115.6,270.0,top
C23,162.2,-115.4,315.0,top
C24,162.2,-90.4,45.0,top
C25,132.9,-104.3,90.0,top
C26,132.9,-107.05,90.0,top
C27,135.5325,-101.4,180.0,top
C28,135.7,-94.849999,180.0,top
C29,158.0,-116.0,270.0,top
C3,124.199999,-108.965001,0.0,top
C30,162.7675,-95.2,0.0,top
C31,134.8,-114.0,270.0,top
C32,134.6,-110.6,90.0,top
C33,135.6,-110.6,90.0,top
C35,149.216,-122.025,0.0,top
C36,152.516,-119.2925,90.0,top
C37,165.905824,-84.911854,225.0,top
C38,167.7,-86.717678,225.0,top
C39,133.5,-85.0,315.0,top
C4,121.8975,-107.964999,0.0,top
C40,131.7,-86.8,315.0,top
C41,183.9,-112.3,270.0,top
C42,118.8,-112.5675,270.0,top
C45,145.8325,-88.1,0.0,top
C46,178.909577,-103.360536,270.0,top
C47,186.209577,-109.660535,0.0,top
C48,186.999999,-104.960535,90.0,top
C49,188.0,-104.960535,90.0,top
C5,116.900001,-102.85,270.0,top
C6,183.842077,-108.660535,0.0,top
C7,150.4,-115.6,0.0,top
C8,137.2,-102.1,90.0,top
C9,150.7325,-88.1,0.0,top
D3,125.799999,-95.1325,180.0,top
D4,125.8,-93.1,180.0,top
D5,120.7,-99.75,270.0,top
D6,182.709577,-100.260535,270.0,top
D7,185.1,-112.1,270.0,top
D8,120.6,-112.7675,0.0,top
IC1,174.5,-93.5,0.0,top
IC2,168.4,-109.4,90.0,top
IC4,149.7,-102.9,0.0,top
J1,194.6,-112.675,270.0,top
J10,134.34,-131.349999,0.0,bottom
J11,167.27,-120.06,180.0,top
J2,104.9,-113.925,90.0,top
J3,117.1,-118.7675,0.0,top
J4,127.683705,-81.290812,225.0,top
J5,171.353554,-81.346447,135.0,top
J6,149.5,-72.7,180.0,top
J7,149.72,-130.17,0.0,top
J8,182.3,-118.7,0.0,top
J9,160.75,-84.27,0.0,top
R1,124.199999,-107.965001,180.0,top
R10,184.109577,-99.453035,270.0,top
R11,179.9,-112.3,90.0,top
R12,180.7,-112.3,90.0,top
R13,181.5,-112.3,90.0,top
R14,131.6325,-112.4,0.0,top
R15,131.6325,-110.1,180.0,top
R16,182.3,-112.3,90.0,top
R17,114.8,-112.5675,90.0,top
R18,115.6,-112.5675,90.0,top
R19,116.4,-112.5675,90.0,top
R2,121.897501,-108.965,180.0,top
R20,140.0,-86.6,90.0,top
R22,117.2,-112.5675,90.0,top
R23,132.9,-85.6,315.0,top
R24,132.294176,-86.2,315.0,top
R25,167.1,-86.117678,225.0,top
R26,166.5,-85.5,225.0,top
R27,151.4925,-78.5,0.0,top
R28,147.9325,-88.0,0.0,top
R29,186.209577,-108.660535,180.0,top
R3,121.9,-106.965001,0.0,top
R30,147.5,-78.5,180.0,top
R31,183.1,-112.3,90.0,top
R32,118.0,-112.5675,90.0,top
R33,183.812077,-109.660534,180.0,top
R34,183.812077,-107.660535,0.0,top
R35,169.7,-104.1075,270.0,top
R36,168.9,-104.115,270.0,top
R37,169.5,-92.9,0.0,top
R38,169.5,-94.8,0.0,top
R39,160.35,-87.75,180.0,top
R4,124.200001,-106.965,0.0,top
R41,163.6,-122.2,270.0,top
R42,132.099999,-100.6,270.0,top
R43,132.1,-98.5925,270.0,top
R44,186.212077,-107.660535,0.0,top
R5,143.9,-89.7,270.0,top
R6,152.8325,-88.0,180.0,top
R7,127.95,-95.1325,270.0,top
R8,127.95,-93.1,270.0,top
R9,122.1,-98.965001,270.0,top
S1,151.8,-83.2,270.0,top
S4,146.9,-83.2,90.0,top
VR1,183.9,-104.45,180.0,top
VR2,121.95,-103.95,180.0,top
Y1,135.7,-98.1,270.0,top
Y3,135.65,-105.7,270.0,top
