Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C2",0402,4,100n,
"C10, C3, C4, C5, C6, C7, C8, C9",CP_Radial_D5.0mm_P2.50mm,8,C_Polarized,
C14,1206,1,1u,
C15,1206,1,10u Tantal,
D1,LEDC1608X70N,1,LED,
IC1,SOP65P640X110-28N,1,"PCA9685PW_Q900,118",
J1,AMASS_XT60PW-M,1,XT60PW-M,
"J2, J3, J4",PinHeader_1x06_P2.54mm_Vertical,3,Conn_01x06_Pin,
"J5, J6, J7",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03_Pin,
J8,17352658,1,Conn_01x08_Pin,
J9,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
R1,0402,1,R,
"SHUNT_01, SHUNT_2, SHUNT_3, SHUNT_4, SHUNT_5, SHUNT_6, SHUNT_7, SHUNT_8",1206,8,R0.005,
U1,SOIC127P600X175-16N,1,MUX508IDR,
U2,SOT-23-6,1,INA181,
U3,SOT230P700X180-4N,1,LT1117CST-3.3,
