Designator,Mid X,Mid Y,Rotation,Layer
C1,188.087,-117.038499,180.0,bottom
C10,188.294,-71.992887,270.0,top
C12,177.245,-121.478,270.0,bottom
C13,188.9165,-111.7045,0.0,bottom
C14,198.454,-62.804,270.0,bottom
C15,188.802,-62.804,90.0,bottom
C2,176.864,-83.378,90.0,bottom
C3,168.881113,-136.492,180.0,top
C4,175.926,-145.136887,270.0,top
C5,182.426,-145.136887,270.0,top
C6,188.926,-145.136887,270.0,top
C7,195.970888,-136.492,0.0,top
C8,176.102,-71.992887,270.0,top
C9,182.198,-71.992887,270.0,top
D1,193.628,-63.07,90.0,top
IC1,182.575,-83.488,270.0,bottom
J1,179.685,-100.904,270.0,bottom
J2,182.316,-133.892,90.0,top
J3,182.316,-136.4828,90.0,top
J4,182.316,-138.9974,90.0,top
J5,182.197998,-62.042,270.0,top
J6,182.197999,-64.582,270.0,top
J7,182.197998,-67.122,270.0,top
J8,182.452,-54.422,180.0,top
J9,167.142,-63.887,270.0,top
R1,193.628,-65.344,0.0,top
SHUNT_01,184.75,-58.4,90.0,bottom
SHUNT_2,182.2,-58.4,90.0,bottom
SHUNT_3,179.65,-58.4,90.0,bottom
SHUNT_4,175.975,-128.971,90.0,bottom
SHUNT_5,181.055,-128.971,90.0,bottom
SHUNT_6,183.595,-128.971,90.0,bottom
SHUNT_7,186.135,-128.971,90.0,bottom
SHUNT_8,188.675,-128.971,90.0,bottom
U1,183.087,-121.478,270.0,bottom
U2,188.468,-114.366,270.0,bottom
U3,193.628,-64.582,270.0,bottom
