Designator,Mid X,Mid Y,Rotation,Layer
C1,149.7,-105.8,180.0,bottom
C10,143.9,-60.544887,270.0,top
C12,138.9,-109.9,270.0,bottom
C13,150.5,-100.6,0.0,bottom
C14,137.6,-51.9625,270.0,bottom
C15,127.8,-51.9625,270.0,bottom
C2,138.3,-72.7,90.0,bottom
C3,131.05,-125.4,180.0,top
C4,138.0,-133.75,270.0,top
C5,144.5,-133.75,270.0,top
C6,150.9,-133.75,270.0,top
C7,158.15,-125.4,0.0,top
C8,137.9,-60.544887,270.0,top
C9,150.0,-60.544888,270.0,top
D1,132.7,-52.0,90.0,top
IC1,144.125,-73.062,270.0,bottom
J1,141.271,-88.4,90.0,bottom
J2,144.49,-123.0,270.0,top
J3,144.49,-125.386,270.0,top
J4,144.488,-127.926,270.0,top
J5,143.9,-50.6,270.0,top
J6,143.900001,-53.14,270.0,top
J7,143.9,-55.68,270.0,top
J8,144.49,-43.0,180.0,top
J9,159.2,-51.275,270.0,top
R1,132.8,-54.35,180.0,top
SHUNT_01,146.5,-46.249999,90.0,bottom
SHUNT_2,143.9,-46.249999,90.0,bottom
SHUNT_3,141.3,-46.249999,90.0,bottom
SHUNT_4,150.9,-118.6,90.0,bottom
SHUNT_5,145.8,-118.6,90.0,bottom
SHUNT_6,143.3,-118.6,90.0,bottom
SHUNT_7,140.7,-118.6,90.0,bottom
SHUNT_8,138.2,-118.6,90.0,bottom
U1,144.695,-110.175,270.0,bottom
U2,150.1,-103.2,270.0,bottom
U3,132.7,-53.7,270.0,bottom
